Name,Financial Year,Month,All India Total ,All India Public ,All India Private,All India Urban ,All India Rural,A & N IslandsTotal ,A & N Islands Public [A],A & N Islands Private [B],A & N Islands Urban [C],A & N Islands Rural [D],Andhra Pradesh Total [(A+B) or (C+D)],Andhra Pradesh Public [A],Andhra Pradesh Private [B],Andhra Pradesh Urban [C],Andhra Pradesh Rural [D],Arunachal Pradesh Total [(A+B) or (C+D)],Arunachal Pradesh Public [A],Arunachal PradeshPrivate [B],Arunachal Pradesh Urban [C],Arunachal Pradesh Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
,2019-2020,march,7017257,,,,,4818,,,,,4555,,,,,0,,,,,449836,,,,,1003650,,,,,0,,,,,5500,,,,,0,,,,,0,,,,,0,,,,,0,,,,,5931,,,,,50,,,,,46145,,,,,10329,,,,,0,,,,,23030,,,,,0,,,,,0,,,,,,,,,,,,,,,639239,,,,,316346,,,,,1000,,,,,39025,,,,,2700,,,,,3188,,,,,3404709,,,,,0,,,,,0,,,,,40421,,,,,1411,,,,,514620,,,,,252570,,,,,1950,,,,,244969,,,,,1265,,,,,0,,,,
MVA Syringes,2019-2020,march,471466,,,,,40,,,,,0,,,,,1700,,,,,70,,,,,189206,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,6,,,,,0,,,,,2179,,,,,0,,,,,2,,,,,719,,,,,0,,,,,,,,,,,,,,,,,,,,18121,,,,,98493,,,,,,,,,,30,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,71,,,,,0,,,,,85090,,,,,0,,,,,0,,,,,75718,,,,,0,,,,,21,,,,
,2019-2020,march,223767,,,,,1000,,,,,0,,,,,0,,,,,0,,,,,20600,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,0,,,,,2000,,,,,0,,,,,0,,,,,40,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,200000,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,77,,,,,0,,,,,0,,,,,50,,,,,0,,,,,,,,,
,2019-2020,march,96730,,,,,0,,,,,0,,,,,1200,,,,,0,,,,,95530,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,
,2019-2020,march,123107,,,,,910,,,,,0,,,,,300,,,,,70,,,,,30000,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,5,,,,,0,,,,,910,,,,,0,,,,,0,,,,,18,,,,,0,,,,,,,,,,,,,,,,,,,,5047,,,,,63300,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,47,,,,,0,,,,,0,,,,,22500,,,,,0,,,,,,,,,
,2019-2020,march,475396,,,,,130,,,,,0,,,,,200,,,,,0,,,,,84276,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,0,,,,,3269,,,,,0,,,,,2,,,,,741,,,,,0,,,,,0,,,,,,,,,,,,,,,13074,,,,,235193,,,,,0,,,,,30,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,71,,,,,0,,,,,85120,,,,,0,,,,,0,,,,,53268,,,,,0,,,,,21,,,,
Tab. Fluconazole,2019-2020,march,6238784,,,,,8300,,,,,0,,,,,0,,,,,493591,,,,,73978,,,,,,,,,,6000,,,,,0,,,,,0,,,,,,,,,,,,,,,387950,,,,,0,,,,,184723,,,,,0,,,,,5000,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,667168,,,,,231180,,,,,216160,,,,,2300,,,,,0,,,,,73,,,,,2256710,,,,,0,,,,,0,,,,,0,,,,,0,,,,,58513,,,,,0,,,,,0,,,,,1452918,,,,,178220,,,,,16000,,,,
,2019-2020,march,724560,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,323186,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,192000,,,,,13850,,,,,0,,,,,0,,,,,0,,,,,0,,,,,20000,,,,,0,,,,,0,,,,,0,,,,,0,,,,,21664,,,,,0,,,,,6060,,,,,31800,,,,,116000,,,,,,,,,
,2019-2020,march,90399,,,,,0,,,,,0,,,,,0,,,,,0,,,,,600,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,61687,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,25000,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,12,,,,,0,,,,,0,,,,,3100,,,,,0,,,,,,,,,
,2019-2020,march,1476252,,,,,540,,,,,0,,,,,0,,,,,110799,,,,,8500,,,,,,,,,,5500,,,,,0,,,,,0,,,,,,,,,,,,,,,101400,,,,,0,,,,,20000,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,236045,,,,,17270,,,,,216160,,,,,2300,,,,,0,,,,,36,,,,,380600,,,,,0,,,,,0,,,,,0,,,,,0,,,,,24442,,,,,0,,,,,3360,,,,,323600,,,,,25700,,,,,,,,,
,2019-2020,march,5396693,,,,,7760,,,,,0,,,,,0,,,,,382792,,,,,64878,,,,,0,,,,,500,,,,,0,,,,,0,,,,,0,,,,,0,,,,,548049,,,,,0,,,,,164723,,,,,0,,,,,5000,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,598123,,,,,227760,,,,,0,,,,,0,,,,,0,,,,,37,,,,,1896110,,,,,0,,,,,0,,,,,0,,,,,0,,,,,55723,,,,,0,,,,,2700,,,,,1158018,,,,,268520,,,,,16000,,,,
Blood Transfusion sets,2019-2020,march,169193,,,,,4954,,,,,0,,,,,0,,,,,26562,,,,,7005,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,0,,,,,811,,,,,25,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,11336,,,,,5325,,,,,,,,,,0,,,,,0,,,,,0,,,,,39365,,,,,0,,,,,0,,,,,46660,,,,,0,,,,,26870,,,,,0,,,,,0,,,,,280,,,,,0,,,,,0,,,,
,2019-2020,march,8880,,,,,100,,,,,0,,,,,0,,,,,0,,,,,1870,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,0,,,,,500,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,800,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,5610,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,
,2019-2020,march,122,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,122,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,
,2019-2020,march,22927,,,,,48,,,,,0,,,,,0,,,,,982,,,,,500,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,0,,,,,157,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,230,,,,,1970,,,,,,,,,,0,,,,,0,,,,,0,,,,,8220,,,,,0,,,,,0,,,,,5,,,,,0,,,,,10815,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,
,2019-2020,march,155024,,,,,5006,,,,,0,,,,,0,,,,,25580,,,,,8375,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1154,,,,,25,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,11106,,,,,4155,,,,,0,,,,,0,,,,,0,,,,,0,,,,,31145,,,,,0,,,,,0,,,,,46655,,,,,0,,,,,21543,,,,,0,,,,,0,,,,,280,,,,,0,,,,,0,,,,
Gluteraldehyde 2%,2019-2020,march,108435,,,,,2750,,,,,0,,,,,0,,,,,653,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,649,,,,,0,,,,,78,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,509,,,,,4161,,,,,,,,,,0,,,,,0,,,,,0,,,,,23,,,,,0,,,,,0,,,,,42,,,,,0,,,,,99436,,,,,0,,,,,0,,,,,78,,,,,56,,,,,0,,,,
,2019-2020,march,17527,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,173,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,24,,,,,500,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,99,,,,,0,,,,,16721,,,,,0,,,,,0,,,,,10,,,,,0,,,,,,,,,
,2019-2020,march,31,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,10,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,21,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,
,2019-2020,march,13486,,,,,0,,,,,0,,,,,0,,,,,152,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,112,,,,,0,,,,,11,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,41,,,,,2171,,,,,,,,,,0,,,,,0,,,,,0,,,,,1,,,,,0,,,,,0,,,,,9,,,,,0,,,,,10952,,,,,0,,,,,0,,,,,7,,,,,30,,,,,,,,,
,2019-2020,march,112445,,,,,2750,,,,,0,,,,,0,,,,,501,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,700,,,,,0,,,,,67,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,492,,,,,2490,,,,,0,,,,,0,,,,,0,,,,,0,,,,,22,,,,,0,,,,,0,,,,,132,,,,,0,,,,,105184,,,,,0,,,,,0,,,,,81,,,,,26,,,,,0,,,,
IFA tablets ( Adult),2019-2020,march,279943410,,,,,201843,,,,,2552550,,,,,0,,,,,2226996,,,,,15248366,,,,,,,,,,64000,,,,,228000,,,,,0,,,,,0,,,,,,,,,,4145236,,,,,1087236,,,,,2607180,,,,,2385320,,,,,32483344,,,,,5819600,,,,,189000,,,,,,,,,,,,,,,,,,,,34228149,,,,,49868654,,,,,1013100,,,,,4148962,,,,,504000,,,,,745188,,,,,70572432,,,,,385111,,,,,0,,,,,2072150,,,,,115492,,,,,17609170,,,,,0,,,,,374300,,,,,17952111,,,,,3644820,,,,,7471100,,,,
,2019-2020,march,36643327,,,,,32800,,,,,0,,,,,0,,,,,0,,,,,6217500,,,,,,,,,,15000,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,1500000,,,,,250342,,,,,3751483,,,,,0,,,,,24400,,,,,,,,,,,,,,,,,,,,305000,,,,,4876320,,,,,0,,,,,0,,,,,0,,,,,0,,,,,6074750,,,,,0,,,,,2455000,,,,,2268400,,,,,11410,,,,,4538256,,,,,0,,,,,0,,,,,4322666,,,,,0,,,,,,,,,
,2019-2020,march,1592254,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1163703,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,20000,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,199900,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,139001,,,,,0,,,,,0,,,,,69650,,,,,0,,,,,,,,,
,2019-2020,march,66359265,,,,,33906,,,,,1241000,,,,,0,,,,,1071860,,,,,3169075,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,3650000,,,,,1087236,,,,,645940,,,,,38413,,,,,11489070,,,,,100000,,,,,0,,,,,,,,,,,,,,,,,,,,6818350,,,,,6527646,,,,,0,,,,,533592,,,,,66000,,,,,1100,,,,,17617420,,,,,31466,,,,,2455000,,,,,984500,,,,,22730,,,,,3482401,,,,,0,,,,,222400,,,,,2817660,,,,,127500,,,,,2125000,,,,
,2019-2020,march,248635218,,,,,200737,,,,,1311550,,,,,0,,,,,1155136,,,,,17133088,,,,,0,,,,,79000,,,,,228000,,,,,0,,,,,0,,,,,0,,,,,475236,,,,,0,,,,,3461240,,,,,2597249,,,,,24745757,,,,,5719600,,,,,213400,,,,,0,,,,,,,,,,,,,,,27514899,,,,,48217328,,,,,1013100,,,,,3615370,,,,,438000,,,,,744088,,,,,59029762,,,,,353645,,,,,0,,,,,3356050,,,,,104172,,,,,18526024,,,,,0,,,,,151900,,,,,19387467,,,,,3517320,,,,,5346100,,,,
IFA - Blue ( Adolescent 10-19 yrs),2019-2020,march,249602523,,,,,515659,,,,,35672632,,,,,131278,,,,,14831595,,,,,25477320,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,264100,,,,,3950392,,,,,0,,,,,225115,,,,,890054,,,,,1526737,,,,,6831800,,,,,0,,,,,,,,,,,,,,,,,,,,44555575,,,,,3185491,,,,,0,,,,,385240,,,,,1490515,,,,,7350,,,,,49890356,,,,,46485,,,,,0,,,,,5993060,,,,,94365,,,,,18263346,,,,,915201,,,,,148858,,,,,24774859,,,,,400940,,,,,9134200,,,,
,2019-2020,march,5444871,,,,,92000,,,,,0,,,,,0,,,,,390000,,,,,0,,,,,,,,,,76050,,,,,,,,,,0,,,,,,,,,,0,,,,,1304638,,,,,0,,,,,0,,,,,200443,,,,,296482,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,3000,,,,,450000,,,,,0,,,,,0,,,,,0,,,,,0,,,,,436050,,,,,500000,,,,,0,,,,,0,,,,,0,,,,,1474808,,,,,0,,,,,0,,,,,197200,,,,,0,,,,,24200,,,,
,2019-2020,march,10736198,,,,,0,,,,,9974100,,,,,0,,,,,0,,,,,376800,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,2000,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,358900,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,24398,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,
,2019-2020,march,45443772,,,,,43918,,,,,7223064,,,,,0,,,,,3072108,,,,,2166855,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,2057597,,,,,0,,,,,16569,,,,,50443,,,,,411702,,,,,1641000,,,,,0,,,,,,,,,,,,,,,,,,,,6140100,,,,,2047082,,,,,,,,,,91500,,,,,15608,,,,,1700,,,,,12413760,,,,,15645,,,,,0,,,,,1495970,,,,,29220,,,,,3319921,,,,,1000,,,,,148858,,,,,3030152,,,,,10000,,,,,0,,,,
,2019-2020,march,198867424,,,,,563741,,,,,18475468,,,,,131278,,,,,12149487,,,,,22933665,,,,,0,,,,,76050,,,,,0,,,,,0,,,,,0,,,,,264100,,,,,3195433,,,,,0,,,,,208546,,,,,1040054,,,,,1411517,,,,,5190800,,,,,0,,,,,0,,,,,,,,,,,,,,,38059575,,,,,1588409,,,,,0,,,,,293740,,,,,1474907,,,,,5650,,,,,37912646,,,,,530840,,,,,0,,,,,4497090,,,,,65145,,,,,16393835,,,,,914201,,,,,0,,,,,21941907,,,,,390940,,,,,9158400,,,,
IFA- Pink ( Junior 6-10 yrs),2019-2020,march,234079608,,,,,302168,,,,,14357280,,,,,1122190,,,,,21616455,,,,,35227561,,,,,,,,,,4590000,,,,,0,,,,,0,,,,,,,,,,580300,,,,,7804184,,,,,0,,,,,4844773,,,,,2449000,,,,,1827485,,,,,15800,,,,,0,,,,,,,,,,,,,,,,,,,,25280552,,,,,24782515,,,,,,,,,,2369790,,,,,0,,,,,0,,,,,29694953,,,,,0,,,,,0,,,,,4724195,,,,,92000,,,,,21382554,,,,,3902606,,,,,240752,,,,,23614545,,,,,240000,,,,,3017950,,,,
,2019-2020,march,22927937,,,,,80000,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,4528794,,,,,124063,,,,,0,,,,,506,,,,,147317,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,5388900,,,,,500000,,,,,,,,,,0,,,,,0,,,,,0,,,,,5491050,,,,,0,,,,,0,,,,,1457500,,,,,0,,,,,5047107,,,,,0,,,,,0,,,,,162700,,,,,0,,,,,0,,,,
,2019-2020,march,6616683,,,,,0,,,,,3459950,,,,,0,,,,,0,,,,,49000,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,704396,,,,,0,,,,,0,,,,,0,,,,,1046100,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,757000,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,15237,,,,,0,,,,,0,,,,,585000,,,,,0,,,,,,,,,
,2019-2020,march,55540077,,,,,28183,,,,,2810874,,,,,0,,,,,11844295,,,,,2722299,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,3823899,,,,,120500,,,,,4291922,,,,,506,,,,,342000,,,,,2000,,,,,0,,,,,,,,,,,,,,,,,,,,4547650,,,,,5272803,,,,,,,,,,1439125,,,,,0,,,,,0,,,,,6723500,,,,,0,,,,,0,,,,,2241960,,,,,24600,,,,,5024691,,,,,967320,,,,,145880,,,,,3066220,,,,,0,,,,,99850,,,,
,2019-2020,march,194850785,,,,,353985,,,,,8086456,,,,,1122190,,,,,9772160,,,,,32456262,,,,,0,,,,,4590000,,,,,0,,,,,0,,,,,0,,,,,580300,,,,,7804683,,,,,3563,,,,,552851,,,,,2449000,,,,,586702,,,,,13800,,,,,0,,,,,0,,,,,,,,,,,,,,,25364802,,,,,20009712,,,,,0,,,,,930665,,,,,0,,,,,0,,,,,28462503,,,,,0,,,,,0,,,,,3939735,,,,,67400,,,,,21389733,,,,,2935286,,,,,94872,,,,,20126025,,,,,240000,,,,,2918100,,,,
IFA Syrup (Paediatric),2019-2020,march,10372193,,,,,173951,,,,,507817,,,,,261,,,,,30835,,,,,588954,,,,,,,,,,21960,,,,,27,,,,,0,,,,,,,,,,22100,,,,,97299,,,,,118964,,,,,66624,,,,,3048,,,,,11253,,,,,117188,,,,,50380,,,,,,,,,,,,,,,,,,,,1649279,,,,,548694,,,,,,,,,,44732,,,,,0,,,,,0,,,,,2491595,,,,,19495,,,,,0,,,,,279735,,,,,1347,,,,,3088441,,,,,34927,,,,,0,,,,,321519,,,,,91,,,,,81677,,,,
,2019-2020,march,4347908,,,,,0,,,,,307380,,,,,0,,,,,0,,,,,2000,,,,,,,,,,200,,,,,,,,,,0,,,,,,,,,,0,,,,,8950,,,,,229982,,,,,0,,,,,500,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,216500,,,,,451703,,,,,,,,,,0,,,,,0,,,,,0,,,,,284200,,,,,0,,,,,0,,,,,0,,,,,0,,,,,2675071,,,,,11000,,,,,0,,,,,160422,,,,,0,,,,,0,,,,
,2019-2020,march,260076,,,,,20,,,,,193836,,,,,0,,,,,0,,,,,845,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,4000,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,45980,,,,,,,,,,,,,,,,,,,,2000,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1525,,,,,0,,,,,0,,,,,11870,,,,,0,,,,,,,,,
,2019-2020,march,2210320,,,,,12055,,,,,29651,,,,,0,,,,,6580,,,,,60979,,,,,,,,,,960,,,,,0,,,,,0,,,,,,,,,,0,,,,,36580,,,,,267669,,,,,14340,,,,,900,,,,,6868,,,,,38000,,,,,4000,,,,,,,,,,,,,,,,,,,,208162,,,,,506635,,,,,,,,,,5579,,,,,0,,,,,0,,,,,435319,,,,,1316,,,,,0,,,,,13188,,,,,137,,,,,428110,,,,,8980,,,,,0,,,,,122560,,,,,52,,,,,1700,,,,
,2019-2020,march,12249705,,,,,161876,,,,,591710,,,,,261,,,,,24255,,,,,529130,,,,,0,,,,,21200,,,,,27,,,,,0,,,,,0,,,,,22100,,,,,65669,,,,,81277,,,,,52284,,,,,2648,,,,,4385,,,,,79188,,,,,400,,,,,0,,,,,,,,,,,,,,,1655617,,,,,493762,,,,,0,,,,,39153,,,,,0,,,,,0,,,,,2340476,,,,,18179,,,,,0,,,,,266547,,,,,1210,,,,,5333877,,,,,36947,,,,,0,,,,,347511,,,,,39,,,,,79977,,,,
Paediatrics Antibiotics ( Amoxycillin and Injectable Gentamicin),2019-2020,march,4047536,,,,,1154,,,,,4150,,,,,200,,,,,266763,,,,,642000,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,214920,,,,,0,,,,,42598,,,,,0,,,,,18925,,,,,38044,,,,,0,,,,,,,,,,,,,,,,,,,,519853,,,,,762394,,,,,,,,,,55520,,,,,0,,,,,0,,,,,817097,,,,,0,,,,,0,,,,,2498,,,,,23,,,,,566046,,,,,0,,,,,300,,,,,81916,,,,,13135,,,,,0,,,,
,2019-2020,march,479321,,,,,300,,,,,0,,,,,3025,,,,,0,,,,,5000,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,207339,,,,,0,,,,,2000,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,30500,,,,,23000,,,,,,,,,,0,,,,,0,,,,,0,,,,,80607,,,,,0,,,,,0,,,,,20000,,,,,0,,,,,98350,,,,,0,,,,,0,,,,,6200,,,,,3000,,,,,,,,,
,2019-2020,march,2402,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,2300,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,102,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,
,2019-2020,march,642133,,,,,120,,,,,100,,,,,3225,,,,,71815,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,98358,,,,,0,,,,,4650,,,,,0,,,,,18925,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,80125,,,,,79427,,,,,,,,,,3050,,,,,0,,,,,0,,,,,166965,,,,,0,,,,,0,,,,,5268,,,,,20,,,,,91375,,,,,0,,,,,260,,,,,14750,,,,,3700,,,,,,,,,
,2019-2020,march,3882322,,,,,1334,,,,,4050,,,,,0,,,,,194948,,,,,647000,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,321601,,,,,0,,,,,39948,,,,,0,,,,,0,,,,,38044,,,,,0,,,,,0,,,,,,,,,,,,,,,470228,,,,,705967,,,,,0,,,,,52470,,,,,0,,,,,0,,,,,730739,,,,,0,,,,,0,,,,,17230,,,,,3,,,,,572919,,,,,0,,,,,40,,,,,73366,,,,,12435,,,,,0,,,,
Vit A syrup,2019-2020,march,1815044,,,,,2647,,,,,17444,,,,,0,,,,,896,,,,,2175,,,,,,,,,,0,,,,,113,,,,,10911,,,,,0,,,,,2075,,,,,27149,,,,,446,,,,,6889,,,,,261611,,,,,654,,,,,35637,,,,,5888,,,,,,,,,,,,,,,,,,,,22582,,,,,51930,,,,,9900,,,,,1143,,,,,39,,,,,184,,,,,175942,,,,,2564,,,,,500,,,,,9006,,,,,0,,,,,1047913,,,,,2155,,,,,24000,,,,,88278,,,,,0,,,,,4373,,,,
,2019-2020,march,110114,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,42,,,,,,,,,,0,,,,,0,,,,,,,,,,58494,,,,,0,,,,,300,,,,,0,,,,,0,,,,,1250,,,,,0,,,,,,,,,,,,,,,,,,,,5500,,,,,12000,,,,,0,,,,,0,,,,,0,,,,,59,,,,,0,,,,,0,,,,,2600,,,,,0,,,,,0,,,,,25748,,,,,0,,,,,3000,,,,,1121,,,,,0,,,,,0,,,,
